"direccion";"latitud";"longitud"
"Carrera 49 A No 52 -27";6,72566;-75,28068
"PALACIO MUNICIPAL";2,5497;-76,06368
"LA PLAYA KM 5 VIA TURBO";8,42742;-76,78301
"Calle 34 No  12 - 61";5,4522;-75,65012
"KM 1, VIA SAN RAFAEL";7,79177;-74,77316
"Carrera 11 No 6-25";5,20085;-75,8688
"JUAN KM 6 VIA A LA COSTA";6,64719;-75,46025
"Carrera 48 No 445 - 85 VDA 11";5,85366;-76,01921
"BARRIO VILLA CRUZ SALIDA AL CERRO LAS LAJAS";8,84965;-76,42596
"PARAJE LA FLORIDA KM 1 CABECERA MUNICIPAL";6,88547;-75,33491
"Calle 30 No 17 - 398 SECTOR MATADERO";5,96272;-75,97857
"Calle 17 NO 9 - 02";4,9406;-75,73822
"Calle 50 No 23 - 50";6,359;-75,4924
"Carrera 4 Calle 7 ESQUINA PLAZA PALACIO MUNICIPAL VDA TABLA ROJA";5,23307;-75,78605
"Carrera 29 No 30 - 92 CASCO URBANO";5,73091;-75,14113
"Calle 64 Carrera 12 BARRIO NUEVO HORIZOLTE";6,49008;-74,40616
"Carrera 14 CON Calle 12 CAM";4,86695;-75,61955
"Avenida MEDELLIN PLAZA DE FERIAS";6,30276;-75,56234
"TR 49 No 33 - 200";6,14901;-75,37217
"Calle SAN PEDRO";6,4714;-75,16428
"0,7 KM. HACIA EL POTRERO, SECTOR LA CANCHA";6,30587;-75,37365
"PALACIO MUNICIPAL";5,42103;-75,70286
"BARRIO EL EDEN";6,64487;-76,08422
"SECTOR  LA PESA";6,69409;-73,01853
"Carrera 8A CON Calle 18 BRR PUEBLO NUEVO";5,31695;-74,90502
"BARRIO SAMPER PIZANO";5,6922;-76,65722
"Calle CONDE SECTOR EL MOLINO";5,54879;-75,6441
"SECTOR MATADERO";5,79274;-75,78639
"Calle 26 PUEBLO NUEVO";8,41408;-76,6423
"SALIDA A PACORA SECTOR ZONA URBANA LA GRANJA";5,61217;-75,45652
"PALACIO MUNICIPAL";5,42103;-75,70286
"PALACIO MUNICIPAL";5,42103;-75,70286
"KM 1 VIA MATUPA";3,69824;-73,6978
"105 KM DE VILLAVICENCIO";4,13332;-73,58681
"KM 5,3 VDA AGUA AZUL";2,18237;-73,78482
"Carrera 11 Calle 1 Via Piñalito";3,12428;-73,75156
"65 KM DE YOPAL";4,91904;-72,67475
"KM 1 VDA SAN MIGUEL";3,85122;-73,74031
"BARRIO SIMON BOLIVAR";3,53741;-73,80063
"95 KM DE YOPAL";5,82951;-72,16334
"KM 1 VIA ITIBANA - RIO TAME";6,46392;-71,72776
"Carrera 14 N° 5-23 Barrio el Progreso";4,6163;-72,92806
"CAPITAL DE CASANARE";5,33529;-72,39373
"KM 1 VIA A VILLAVICENCIO";4,14557;-73,65598
"120 KM DE YOPAL";5,40822;-71,66158
"KM 3 VIA PUERTO LOPEZ SECTOR BATEAS";4,31261;-72,08191
"10 KM DE VILLAVICENCIO";4,13235;-73,62193
"CAPITAL DEL GUAVIARE";2,56869;-72,64097
"Calle 7 No 3 - 10 SECTOR LA PESA";6,63861;-73,28639
"Calle 11 No 10 - 07 ALCALDIA MUNICIPAL KM 2  VIA AL CARMEN";6,87988;-73,41004
"KM 1 VIA VDA EL RESGUARDO (LABATECA - PAMPLONA) MARGEN DERECHO";7,29952;-72,49493
"VDA TESCUA EL DIAMANTE";7,56552;-72,634
"BARRIO CATALUÑA 1K VIA TIBU";7,13769;-72,6645
"KM 1 VIA SAN LORENZO";6,31388;-73,9502
"PLAZA DE MERCADO Calle 7 No 3-16 - ALCALDIA: Carrera 5 NO 5-22";6,29594;-73,04039
"PLAZA DE MERCADO Calle 7 No 3-16 - ALCALDIA: Carrera 5 NO 5-22 - CORREGIMIENTO CINCELADA";6,29482;-73,04056
"ALCALDIA MUNICIPAL";7,37663;-72,64627
"Carrera 3 NO 1 IMPAR BARRIO URIBE URIBE";5,93096;-73,6165
"Calle 5 No 3-62";6,2917;-73,4729
"Carrera 20-19 PAR";6,2849;-73,15128
"ZONA INDUSTRIAL KM 2 VIA A CUCUTA";6,69802;-72,73333
"Carrera 5 No 9 - 39 ALCALDIA MUNICIPAL";6,01661;-73,6709
"Carrera 40 BARRIO LAS FERIAS";8,26458;-73,3586
"Calle 2 No 6 - 15  ALCALDIA MUNICIPAL";7,77287;-72,81129
"KM 1 VIA ICONONZO - MELGAR VDA PORTACHUELO";4,17908;-74,5365
"Carrera 6 SECTOR SAN ROQUE";6,54247;-73,30811
"Carrera 9 No. 3 ESQUINA BARR SAN ROQUE";6,44727;-73,14514
"Carrera 4 No 5 -31";6,24682;-73,41829
"PALACIO MUNICIPAL";5,9302;-73,61828
"Carrera 3 No 3 - 40";6,41558;-73,16967
"Calle 17 No 7 - 29 BARRIO CRVAJAL";7,39045;-73,49869
"Calle 3 Carrera 2 ESQUINA";6,57481;-72,64533
"Calle 14 # 20 PAR- BARRIO NARANJITO";6,46919;-73,26065
"KM 1 VIA AL SOCORRO - VIÑA DEL PRADO";6,55234;-73,13161
"KM 8 VIA BUCRMANGA - RIONEGRO";7,1171;-73,12927
"Avenida SANTA HELENA";6,73222;-73,77472
"PALACIO MUNICIPAL";5,9302;-73,61828
"Carrera 8 AL LADO DE LA PLAZA DE MERCADO";5,94488;-73,34435
"Calle 7 ENTTRE CRS 8 Y 9";6,47768;-72,97032
"Carrera 4 NO 5-26";6,42717;-72,86848
"Carrera 4 No 4 - 05  ALCALDIA MUNICIPAL";4,0602;-74,69179
"Carrera 3 CON Calle 2 ESQUINA";6,16202;-73,52195
"CENTRO URBANO Calle 2 # 2-20";6,34604;-72,81782
"Calle 6 No 4 - 37";6,34096;-73,12295
"Calle 10 No 6 - 36  ALCALDIA MUNICIPAL";6,26441;-73,29832
"KM 1 VIA A LA VDA LA LAJITA MARGEN DERECHA";6,67138;-73,17457
